,Sentence,Sentiment,Translated_Sentence
1681,UPM-Kymmene has generated thirty-one consecutive quarters of positive EBITDA .,positive,UPM-Kymmene telah menghasilkan EBITDA positif tiga puluh satu kuartal berturut-turut.
1682,"Really surprised by how much $FB has now fallen. Thought there'd be some support around the 50d, but I guess not.",negative,"Benar-benar terkejut dengan berapa banyak $FB sekarang telah jatuh. Kupikir akan ada dukungan di sekitar 50D, tapi kurasa tidak."
1683,"Operating loss totalled EUR 12.7 mn , compared to a profit of EUR 17.7 mn in the first half of 2008 .",neutral,"Kerugian operasional mencapai EUR 12,7 juta , dibandingkan dengan laba EUR 17,7 juta pada paruh pertama tahun 2008 ."
1684,The event can also be viewed as a live audio webcast at www.ahlstrom.com .,neutral,Acara ini juga dapat dilihat sebagai webcast audio langsung di www.ahlstrom.com.
1685,Operating profit excluding non-recurring items was EUR 7.8 million compared to EUR 11.2 million .,negative,"Laba operasional tidak termasuk item yang tidak berulang adalah EUR 7,8 juta dibandingkan dengan EUR 11,2 juta."
1686,"The maximum grade of the veneer yield is calculated , based on the dimensions and grades of the veneer products , as well as by iterating the places of the peeling axes and simulating the peeling process .",neutral,"Nilai maksimum hasil veneer dihitung, berdasarkan dimensi dan nilai produk veneer, serta dengan mengulangi tempat sumbu pengelupasan dan mensimulasikan proses pengelupasan."
1687,The operating margin came down to 2.4 % from 5.7 % .,neutral,"Margin operasi turun menjadi 2,4% dari 5,7%."
1688,"`` In Ukraine , too , we act as a partner for major bakery clients in both production and product development .",neutral,"`` Di Ukraina juga , kami bertindak sebagai mitra bagi klien toko roti besar dalam produksi dan pengembangan produk ."
1689,"As a result of the merger , the largest professional electronics and telecommunications technology contract manufacturing center in Finland will be formed in Sievi .",neutral,"Sebagai hasil dari merger, pusat manufaktur kontrak elektronik dan teknologi telekomunikasi profesional terbesar di Finlandia akan dibentuk di Sievi."
1690,The transaction is in line with Aspo 's strategy to expand in the Baltic Sea region and in the eastern markets .,positive,Transaksi ini sejalan dengan strategi Aspo untuk melakukan ekspansi di kawasan Laut Baltik dan di pasar timur.
1691,Merging the two free sheets will clarify the market situation .,neutral,Penggabungan dua lembar gratis akan memperjelas situasi pasar.
1692,Arena Partners Oy is a development company for electronic business .,neutral,Arena Partners Oy adalah perusahaan pengembang untuk bisnis elektronik.
1693,Cramo slipped to a pretax loss of EUR 6.7 million from a pretax profit of EUR 58.9 million .,negative,"Cramo mengalami kerugian sebelum pajak sebesar EUR 6,7 juta dari laba sebelum pajak sebesar EUR 58,9 juta."
1694,The studies are expected to start in 2008 .,neutral,Studi diharapkan akan dimulai pada tahun 2008 .
1695,Net profit in the same period in 2006 was 36.6 million euros .,neutral,"Laba bersih pada periode yang sama tahun 2006 adalah 36,6 juta euro."
1696,Finnish communication electronics components supplier Scanfil Oyj Tuesday said sales in the first half of 2006 will be 15 % lower than during the same period a year ago .,negative,Pemasok komponen elektronik komunikasi Finlandia Scanfil Oyj Selasa mengatakan penjualan pada semester pertama 2006 akan 15% lebih rendah dibandingkan periode yang sama tahun lalu.
1697,The number of magazine and newspaper readers remained unchanged .,neutral,Jumlah pembaca majalah dan surat kabar tetap tidak berubah.
1698,The company had net sales of EUR 19.8 mn and a pre-tax profit of EUR 1.8 mn in 2005 .,neutral,"Perusahaan memiliki penjualan bersih sebesar EUR 19,8 juta dan laba sebelum pajak sebesar EUR 1,8 juta pada tahun 2005 ."
1699,"The workforce will be reduced also in the Amsterdam office , in the Netherlands .",neutral,"Tenaga kerja juga akan dikurangi di kantor Amsterdam, di Belanda."
1700,Yvonne Jones is owner of Chameleon Interiors .,neutral,Yvonne Jones adalah pemilik Chameleon Interiors.
1701,"A downloadable instruction sheet , instructional video , and project ideas for the award-winning Everywhere Punch TM Window System can be found at www.fiskars.com .",neutral,"Lembar instruksi yang dapat diunduh , video instruksional , dan ide proyek untuk Sistem Jendela Everywhere Punch TM pemenang penghargaan dapat ditemukan di www.fiskars.com ."
1702,"In 2007 Talentum will disclose three Interim Reports - Q1 ( January - March ) on Friday , 27 April , 2007 - Q2 ( April - June ) on Friday , 20 July , 2007 - Q3 ( July - September ) on Friday , 26 October , 2007 .",neutral,"Pada tahun 2007 Talentum akan mengungkapkan tiga Laporan Interim-Q1 (Januari-Maret) pada hari Jumat, 27 April 2007-Q2 (April-Juni) pada hari Jumat, 20 Juli 2007-Q3 (Juli-September) pada hari Jumat, 26 Oktober 2007 ."
1703,The parties have also agreed on options that allow UH to extensively implement later on also functionalities of human resources management .,positive,Para pihak juga telah menyepakati opsi-opsi yang memungkinkan UH untuk mengimplementasikan secara ekstensif di kemudian hari juga fungsi-fungsi manajemen sumber daya manusia.
1704,"LONDON ( AFX ) - Intertek Group PLC , a testing and inspection company , said its commercial and electrical division has bought Finland-based company Natlabs Oy from Etteplan Oyj for 1.3 mln eur in cash .",neutral,"LONDON (AFX) - Intertek Group PLC, sebuah perusahaan pengujian dan inspeksi, mengatakan divisi komersial dan listriknya telah membeli perusahaan yang berbasis di Finlandia Natlabs Oy dari Etteplan Oyj seharga 1,3 juta euro secara tunai."
1705,Finnair believes the strike will cause it daily net losses in excess of EUR 2mn due to canceled reservations and passenger re-routing .,neutral,Finnair yakin pemogokan tersebut akan menyebabkan kerugian bersih harian lebih dari EUR 2 juta karena pembatalan reservasi dan perubahan rute penumpang .
1706,Nordea sees a return to positive growth for the Baltic countries in 2011 .,positive,Nordea melihat kembalinya pertumbuhan positif bagi negara - negara Baltik pada tahun 2011 .
1707,The negotiations will concern the plant 's department producing winded roving that employs 10 people .,neutral,Negosiasi akan menyangkut departemen pabrik yang memproduksi keliling berliku yang mempekerjakan 10 orang.
1708,"POYRY PLC Additional information by : Martin Kuzaj , President , Industry Business Group , Finland Tel. +358 10 33 21179 Sanna Paivaniemi , Director , Investor Relations , Poyry PLC , Finland Tel. +358 10 33 23002 Poyry is a global consulting and engineering company dedicated to balanced sustainability .",neutral,"POYRY PLC Informasi tambahan oleh: Martin Kuzaj, Presiden, Kelompok Usaha Industri, Finlandia Telp. +358 10 33 21179 Sanna Paivaniemi , Direktur , Hubungan Investor , Poyry PLC , Finlandia Telp. +358 10 33 23002 Poyry adalah perusahaan konsultan dan rekayasa global yang didedikasikan untuk keberlanjutan yang seimbang."
1709,"@Binkster69 Not that. it's just ER's lol. But looking at the correlation of $ARIA and foreign price charts, they are all poised to breakout.",positive,"@Binkster69 Bukan itu. itu hanya ER lol. Tetapi melihat korelasi $ARIA dan grafik harga asing, semuanya siap untuk breakout."
1710,"Rapala VMC Corporation STOCK EXCHANGE RELEASE October 10 , 2008 at 11.45 am Kaupthing Bank Oyj ( `` Kapthing '' ) has informed Rapala VMC Corporation ( `` Rapala '' ) that it has interrupted the liquidity providing for Rapala 's share for the time being .",neutral,RELEASE BURSA SAHAM Rapala VMC Corporation 10 Oktober 2008 pukul 11.45 Kaupthing Bank Oyj ( `` Kapthing '' ) telah memberi tahu Rapala VMC Corporation ( `` Rapala '' ) bahwa pihaknya telah menghentikan penyediaan likuiditas untuk saham Rapala untuk sementara waktu . makhluk .
1711,"As part of its new strategy , Finnish Biohit is planning to incorporate its diagnostics business into a separate limited company .",neutral,"Sebagai bagian dari strategi barunya, Biohit Finlandia berencana untuk menggabungkan bisnis diagnostiknya ke dalam perusahaan terbatas yang terpisah."
1712,"Virala Oy Ab was allocated by the Board of Directors an amount of EUR 1,9 million which is EUR 0,25 million lower than maximum announced on 12/30/2010 .",neutral,"Virala Oy Ab dialokasikan oleh Dewan Direksi sejumlah EUR 1,9 juta yang merupakan EUR 0,25 juta lebih rendah dari maksimum yang diumumkan pada 30/12/2010 ."
1713,"Juha Jordan , chief engineer at Glaston , said one of the reasons for choosing Vacon as a global AC drives supplier is that it has service and support centres in the same countries where Glaston operates .",positive,"Juha Jordan, chief engineer di Glaston, mengatakan salah satu alasan memilih Vacon sebagai pemasok drive AC global adalah karena ia memiliki pusat layanan dan dukungan di negara yang sama dengan tempat Glaston beroperasi."
1714,Another firm Air Liquide was exempted because it left the market in 1998 .,neutral,Perusahaan lain Air Liquide dibebaskan karena meninggalkan pasar pada tahun 1998 .
1715,Finnair 's total traffic decreased by 8.7 % in terms of revenue passenger kilometres .,negative,"Total lalu lintas Finnair turun 8,7% dalam hal pendapatan penumpang kilometer."
1716,"The reorganisation will be carried out by transferring HKScan Corporation 's production-related property , plant and equipment in Finland as well as its holdings in subsidiaries and associates to HKScan Finland Oy , a holding company wholly owned by HKScan Corporation .",neutral,"Reorganisasi akan dilakukan dengan mentransfer properti, pabrik dan peralatan yang berhubungan dengan produksi HKScan Corporation di Finlandia serta kepemilikannya di anak perusahaan dan rekanan ke HKScan Finland Oy, sebuah perusahaan induk yang sepenuhnya dimiliki oleh HKScan Corporation."
1717,Cash flow from operations in January-December 2008 was a negative EUR 18.1 mn compared to EUR 39.0 mn in the corresponding period in 2007 .,negative,"Arus kas dari operasi pada Januari-Desember 2008 negatif EUR 18,1 juta dibandingkan dengan EUR 39,0 juta pada periode yang sama tahun 2007 ."
1718,"HELSINKI AFX - Cargotec said it has bought a 95 pct stake in Indital Construction Machinery Ltd , a Bangalore-based company that makes fork lift trucks and mobile cranes , for an undisclosed sum .",neutral,"HELSINKI AFX - Cargotec mengatakan telah membeli 95 persen saham di Indital Construction Machinery Ltd, sebuah perusahaan yang berbasis di Bangalore yang membuat truk fork lift dan mobile crane, dengan jumlah yang tidak diungkapkan."
1719,"Finnish silicon wafer technology company Okmetic Oyj OMX Helsinki : OKM1V reported on Thursday 30 October an operating profit of EUR7 .4 m for January-September 2008 , up from EUR6 .1 m in the corresponding period in 2007 .",positive,"Perusahaan teknologi wafer silikon Finlandia Okmetic Oyj OMX Helsinki : OKM1V melaporkan pada hari Kamis 30 Oktober laba operasi sebesar EUR7,4 m untuk Januari-September 2008, naik dari EUR6,1 m pada periode yang sama tahun 2007 ."
1720,$DCTH Near HOD,positive,$DCTH Dekat HOD
1721,CS Cabot 's main consumers on the Czech and Slovak market are tires producers Barum Continental and Matador Continental .,neutral,Konsumen utama CS Cabot di pasar Ceko dan Slovakia adalah produsen ban Barum Continental dan Matador Continental.
1722,ALERT: New MACD signal created on $CTXS - Buy at 77.09 - Time: 18:23 - Strength: 10. Powered by https://t.co/4TdgjEDLLZ,positive,"ALERT: Sinyal MACD baru dibuat di $CTXS - Beli pada 77,09 - Waktu: 18:23 - Kekuatan: 10. Didukung oleh https://t.co/4TdgjEDLLZ"
1723,Cameco typically prices sales contracts using a 40:60 ratio of fixed prices and spot prices .,neutral,Cameco biasanya menetapkan harga kontrak penjualan menggunakan rasio 40:60 dari harga tetap dan harga spot.
1724,"The total service concept also includes technology services , with which Raute supports its customers throughout the entire life cycle of their investments .",neutral,"Konsep layanan total juga mencakup layanan teknologi, yang dengannya Raute mendukung pelanggannya di seluruh siklus hidup investasi mereka."
1725,Russia wants to utilise its huge forest reserves in a very different way from what has been done so far .,neutral,Rusia ingin memanfaatkan cadangan hutannya yang besar dengan cara yang sangat berbeda dari apa yang telah dilakukan selama ini.
1726,"Based on the 2005 calendar year the combined company had EUR15 .8 bn in pro forma annual revenues and is expected to start operations with 60,000 employees .",neutral,"Berdasarkan tahun kalender 2005, perusahaan gabungan tersebut memiliki pendapatan tahunan pro forma sebesar EUR15,8 miliar dan diharapkan mulai beroperasi dengan 60.000 karyawan."
1727,Diluted earnings per share ( EPS ) fell to EUR 0.63 from EUR 1.71 .,negative,"Laba per saham (EPS) terdilusi turun menjadi EUR 0,63 dari EUR 1,71."
1728,Incap Furniture is presently negotiating staff cuts .,neutral,Incap Furniture saat ini sedang merundingkan pemotongan staf.
1729,$AAPL broke descending channel....will it hold?,neutral,$AAPL memecahkan saluran turun .... apakah itu akan bertahan?
1730,The acquisition is expected to improve access to chrome ore resources in Turkey .,positive,Akuisisi ini diharapkan dapat meningkatkan akses ke sumber daya bijih krom di Turki.
1731,"When this investment is in place , Atria plans to expand into the Moscow market .",neutral,"Ketika investasi ini dilakukan, Atria berencana untuk memperluas ke pasar Moskow."
1732,"The respondents praised Finnair 's reliability , Finnishness , and understanding of its target group .",positive,"Responden memuji keandalan Finnair, Finlandia, dan pemahaman kelompok sasarannya."
1733,Satama earned Data Management Solutions competency with Business Intelligence specialization recentlyvia the acquisition of Fimentor Oy .,positive,Satama memperoleh kompetensi Solusi Manajemen Data dengan spesialisasi Business Intelligence baru-baru ini melalui akuisisi Fimentor Oy.
1734,"We aim to ensure that Vacon is in good shape when capital expenditure starts to pick up again , '' comments Vacon Plc President and CEO Vesa Laisi .",positive,"Kami bertujuan untuk memastikan bahwa Vacon dalam kondisi yang baik ketika belanja modal mulai meningkat lagi,'' komentar Presiden dan CEO Vacon Plc Vesa Laisi."
1735,"The objective is that trading in the shares will commence on May 2 , 2007 .",neutral,"Targetnya, perdagangan saham tersebut akan dimulai pada 2 Mei 2007 mendatang."
1736,$tsla X recall not a big deal... the problem is now they will have an excuse to guide way way lower...,neutral,$tsla X ingat bukan masalah besar ... masalahnya sekarang mereka akan memiliki alasan untuk memandu jauh lebih rendah ...
1737,"Aspocomp said it will spin off its Chinese and Indian units , and some equipment from its Salo plant in Finland , into a newly-formed unit , most of which it will then sell on to Hong Kong-listed Meadville .",neutral,"Aspocomp mengatakan akan memisahkan unit China dan India, dan beberapa peralatan dari pabrik Salo di Finlandia, menjadi unit yang baru dibentuk, yang sebagian besar kemudian akan dijual ke Meadville yang terdaftar di Hong Kong."
1738,"For the first nine months of 2010 , Talvivaara 's net loss narrowed to EUR 8.3 million from EUR 21.9 million for the same period of 2009 .",positive,"Untuk sembilan bulan pertama tahun 2010 , kerugian bersih Talvivaara menyempit menjadi EUR 8,3 juta dari EUR 21,9 juta untuk periode yang sama tahun 2009 ."
1739,Why not subscribe to the magazine ?,neutral,Mengapa tidak berlangganan majalah?
1740,"Janis Arbidans , CEO of YIT Celtnieciba , said the company was focusing on housing and real estate development market .",neutral,"Janis Arbidans, CEO YIT Celtnieciba, mengatakan perusahaan fokus pada pasar pengembangan perumahan dan real estate."
1741,It was decided that the auditors are reimbursed according to invoice .,neutral,Diputuskan bahwa auditor diganti sesuai dengan faktur.
1742,Kalmar Espana generated net sales of some 11.3 mln euro $ 14.8 mln in 2005 .,neutral,"Kalmar Espana menghasilkan penjualan bersih sekitar 11,3 juta euro $14,8 juta pada tahun 2005 ."
1743,"ALEXANDRIA , Va. , Oct. 15 -- Aaron Moss of Hampshire , Great Britain , has developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced .",neutral,"ALEXANDRIA, Va., 15 Oktober -- Aaron Moss dari Hampshire, Inggris Raya, telah mengembangkan desain ornamen untuk sebuah handset, U.S. Patent & Trademark Office mengumumkan."
1744,"@louiebeene vwap is 1.63, held the trend line. Should be on a LOT of radars. $NAVB",positive,"@louiebeene vwap adalah 1,63, memegang garis tren. Harus di BANYAK radar. $NAVB"
1745,ARM Holdings plc Partners With International Business Machines Corp. To Drive ...,positive,ARM Holdings plc Bermitra Dengan International Business Machines Corp. Untuk Mendorong ...
1746,"Under Finnish law , Parliament grants licences to build nuclear power plants .",neutral,"Di bawah hukum Finlandia, Parlemen memberikan lisensi untuk membangun pembangkit listrik tenaga nuklir."
1747,Operating profit excluding non-recurring items totaled EUR 5.4 mn compared to EUR 5.5 mn in the corresponding period in 2007 .,negative,"Laba operasional tidak termasuk item yang tidak berulang berjumlah EUR 5,4 juta dibandingkan dengan EUR 5,5 juta pada periode yang sama di tahun 2007 ."
1748,"ENP Newswire - 22 March 2011 Release date - 21032011 - A total of 13,000 Talvivaara Mining Company Plc 's new shares were subscribed for during the period between 1 January 2011 and 28 February 2011 under the company 's stock option rights 2007A .",neutral,ENP Newswire - 22 Maret 2011 Tanggal rilis - 21032011 - Sebanyak 13.000 saham baru Talvivaara Mining Company Plc diambil bagian selama periode antara 1 Januari 2011 dan 28 Februari 2011 di bawah hak opsi saham perusahaan 2007A.
1749,$CDTI bounce here on support or H&S setup this area is very important for bulls to not lose http://stks.co/c0mf3,positive,$CDTI memantul di sini pada dukungan atau pengaturan H&S area ini sangat penting bagi bull agar tidak kalah http://stks.co/c0mf3
1750,SSH Establishes New Global Sales and Marketing Group to be led by George Adams ; Adams Establishes Global Sales and Marketing Group to Drive Worldwide Programs Supporting SSH Tectia Enterprise Security Solutions,neutral,SSH Mendirikan Grup Penjualan dan Pemasaran Global Baru yang dipimpin oleh George Adams; Adams Membentuk Grup Penjualan dan Pemasaran Global untuk Mendorong Program di Seluruh Dunia yang Mendukung Solusi Keamanan Perusahaan SSH Tectia
1751,"The businesses to be divested offer dairy , edible fats , ready-meal and ice-cream packaging to multinational and local customers .",neutral,"Bisnis yang akan divestasi menawarkan produk susu, lemak yang dapat dimakan, makanan siap saji dan kemasan es krim kepada pelanggan multinasional dan lokal."
1752,"The scope of the project is to find the most cost-efficient method for phosphorous removal and to deliver the storing and dosing equipment , which can be used in continuous operation at the plants .",neutral,"Ruang lingkup proyek ini adalah untuk menemukan metode yang paling hemat biaya untuk menghilangkan fosfor dan mengirimkan peralatan penyimpanan dan dosis, yang dapat digunakan dalam operasi berkelanjutan di pabrik."
1753,Microsoft last week also issued the first patch for the Windows 7 operating system beta it had released days earlier .,neutral,Microsoft minggu lalu juga mengeluarkan patch pertama untuk sistem operasi Windows 7 beta yang telah dirilis beberapa hari sebelumnya.
1754,1 Block lamp Harri Koskinen 's light was introduced in 1996 and has been a bestseller ever since .,positive,1 Lampu blok Lampu Harri Koskinen diperkenalkan pada tahun 1996 dan telah menjadi buku terlaris sejak saat itu.
1755,The original patent was filed in Finland under application No. .,neutral,Paten asli diajukan di Finlandia di bawah aplikasi No.
1756,"Compared with the FTSE 100 index , which fell 35.2 points ( or 0.6 % ) on the day , this was a relative price change of 0.6 % .",neutral,"Dibandingkan dengan indeks FTSE 100, yang turun 35,2 poin (atau 0,6%) hari ini, ini merupakan perubahan harga relatif 0,6%."
1757,"Ruukki 's delivery includes steel structures , including installation , for Krakeroy bascule bridge and steel piles for the bridge foundations .",neutral,"Pengiriman Ruukki meliputi struktur baja, termasuk instalasi, untuk jembatan bascule Krakeroy dan tiang baja untuk pondasi jembatan."
1758,"Forestries were also higher , driven by yesterday 's bullish analyst comment on Stora Enso in Dagens Industri , dealers said .",positive,"Kehutanan juga lebih tinggi, didorong oleh komentar analis bullish kemarin di Stora Enso di Dagens Industri, kata para dealer."
1759,4 January 2011 - Finnish media company Alma Media Corporation HEL : ALN1V said today its online recruitment service Monster Oy will partner with local newspaper publisher Suomen Lehtiyhtyma in listing job advertisements .,neutral,4 Januari 2011 - Perusahaan media Finlandia Alma Media Corporation HEL : ALN1V hari ini mengatakan bahwa layanan rekrutmen online Monster Oy akan bermitra dengan penerbit surat kabar lokal Suomen Lehtiyhtyma dalam mencantumkan iklan pekerjaan .
1760,"Tesla Motors recalls 2,700 Model X SUVs https://t.co/BFWS3DbM0U $TSLA",negative,Tesla Motors menarik kembali 2.700 SUV Model X https://t.co/BFWS3DbM0U $TSLA
1761,"The interim report for the first quarter is published on May 8 , 2009 .",neutral,Laporan sementara untuk kuartal pertama diterbitkan pada 8 Mei 2009 .
1762,"Agricultural newspaper Maaseudun Tulevaisuus had 318,000 readers , representing a decrease of 6 % .",negative,"Surat kabar pertanian Maaseudun Tulevaisuus memiliki 318.000 pembaca, turun 6%."
1763,"Finnish Scanfil , a systems supplier and contract manufacturer to the communications sector and the electronics industry , reports its net sales totalled EUR 94.7 mn in the first half of 2010 , down from EUR 99.5 mn in the first half of 2009 .",neutral,"Scanfil Finlandia , pemasok sistem dan produsen kontrak untuk sektor komunikasi dan industri elektronik , melaporkan penjualan bersihnya mencapai EUR 94,7 juta pada paruh pertama tahun 2010 , turun dari EUR 99,5 juta pada paruh pertama tahun 2009 ."
1764,The group 's net sales in 2007 were EUR683 .6 m.,neutral,"Penjualan bersih grup pada tahun 2007 adalah EUR683 ,6 m."
1765,"The unit 's clients are mainly in the field of specialist convenience goods , as well as in the textile , shoe and furniture businesses .",neutral,"Klien unit ini terutama di bidang barang kenyamanan khusus, serta di bisnis tekstil, sepatu, dan furnitur."
1766,"Mr. McDonald started the evening with his own set , featuring hits from his solo career and his Doobie Brothers years and a selection of R&B cover songs that met with mixed results .",neutral,"Mr McDonald memulai malam dengan set sendiri, menampilkan hits dari karir solonya dan tahun-tahun Doobie Brothers dan pilihan lagu cover R&B yang bertemu dengan hasil yang beragam."
1767,"Sarantel , based in Wellingborough , UK , designs high-performance antennas for portable wireless devices .",neutral,"Sarantel, yang berbasis di Wellingborough, Inggris, merancang antena berkinerja tinggi untuk perangkat nirkabel portabel."
1768,Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,positive,San Miguel dari Filipina mengatakan untuk bermitra dengan Kirin jika mengajukan tawaran untuk SABMiller ...
1769,A high court in Finland has fined seven local asphalt companies more than   lion ( $ 117 million ) for operating a cartel .,negative,Sebuah pengadilan tinggi di Finlandia telah mendenda tujuh perusahaan aspal lokal lebih dari singa ($ 117 juta) karena mengoperasikan kartel.
1770,Net profit fell by almost half to +é 5.5 million from +é 9.4 million at the end of 2007 .,neutral,"Laba bersih turun hampir setengahnya menjadi +é 5,5 juta dari +é 9,4 juta pada akhir tahun 2007 ."
1771,"$AGN and $PYPL under pressure along with the market, however there were bullish options trades in both this morning https://t.co/9xG5W8nONT",neutral,"$AGN dan $PYPL berada di bawah tekanan seiring dengan pasar, namun ada perdagangan opsi bullish di keduanya pagi ini https://t.co/9xG5W8nONT"
1772,UPM stock fell 3 percent to EURO 12.49 $ 17.24 in early afternoon trading in Helsinki .,neutral,"Saham UPM turun 3 persen menjadi EURO 12,49 $ 17,24 pada perdagangan sore di Helsinki."
1773,"HELSINKI AFX - Cramo said it has agreed to sell Cramo Nederland BV CNL , its Dutch machinery and equipment rental unit , to Jaston Groep for an undisclosed sum .",neutral,"HELSINKI AFX-Cramo mengatakan telah setuju untuk menjual Cramo Nederland BV CNL, unit persewaan mesin dan peralatan Belanda, kepada Jaston Groep dengan jumlah yang tidak diungkapkan."
1774,The stock rose for a second day on Wednesday bringing its two-day rise to GBX12 .0 or 2.0 % .,positive,"Saham naik untuk hari kedua pada hari Rabu membawa kenaikan dua hari ke GBX12 0,0 atau 2,0%."
1775,"The share capital of Alma Media Corporation business ID 1944757-4 is EUR 44,767,513.80 and it is divided into 74,612,523 shares .",neutral,"Modal saham Alma Media Corporation bisnis ID 1944757-4 adalah EUR 44.767.513,80 dan dibagi menjadi 74.612.523 saham."
1776,"The port facilities ' throughput is 250,000 TEUs and 7.5 mln tons of general cargo .",neutral,"Throughput fasilitas pelabuhan adalah 250.000 TEUs dan 7,5 juta ton kargo umum."
1777,Investments are not disclosed .,neutral,Investasi tidak diungkapkan.
1778,Operating profit excluding non-recurring items increased by 27 % to EUR 81.9 mn from EUR 64.4 mn in the corresponding period in 2008 .,positive,"Laba operasional tidak termasuk item yang tidak berulang meningkat sebesar 27% menjadi EUR 81,9 juta dari EUR 64,4 juta pada periode yang sama di tahun 2008 ."
1779,"At the end of March 2009 , the company 's loans amounted to EUR 10.113 mn .",neutral,"Pada akhir Maret 2009, pinjaman perusahaan berjumlah EUR 10,113 juta."
1780,The value of the order is about EUR 30mn .,neutral,Nilai pesanan sekitar EUR 30 juta .
1781,"The market making in accordance with the agreement will begin on September 24 , 2009 .",neutral,Pembuatan pasar sesuai kesepakatan akan dimulai pada 24 September 2009 .
1782,$FB popping up to HOD,positive,$FB muncul di HOD
1783,"`` I am very pleased and proud of our performance last year , '' Chief Executive Juha Rantanen said in a statement .",positive,"`` Saya sangat senang dan bangga dengan kinerja kami tahun lalu , '' kata Chief Executive Juha Rantanen dalam sebuah pernyataan ."
1784,"The order includes a steel frame , load-bearing roof structures and partition wall elements , and Rautaruukki said it expects to complete installation as early as May next year .",neutral,"Pesanan tersebut termasuk rangka baja, struktur atap penahan beban dan elemen dinding partisi, dan Rautaruukki mengatakan mereka mengharapkan untuk menyelesaikan pemasangan pada awal Mei tahun depan."
1785,"The shares subscribed for under the stock options were registered in the Trade Register on 20 January 2011 , as of which date the new shares will establish shareholder rights .",neutral,"Saham-saham yang diambil berdasarkan opsi saham tersebut telah dicatatkan dalam Daftar Dagang pada tanggal 20 Januari 2011, sejak tanggal tersebut saham baru tersebut akan menjadi hak pemegang saham."
1786,The identity of the buyer is not yet known .,neutral,Identitas pembeli belum diketahui.
1787,Finnish Bank of +àland 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .,positive,"Laba bersih konsolidasi Bank of +àland Finlandia meningkat dari EUR 4,8 juta pada kuartal pertama tahun 2005 menjadi EUR 6,4 juta pada kuartal pertama tahun 2006 ."
1788,RT @robbieLOLZ $NFLX A close above here is looking good for the bulls. Will hold my positions to see where we close at. Keep buying here.,positive,RT @robbieLOLZ $NFLX Penutupan di atas di sini terlihat bagus untuk bull. Akan menahan posisi saya untuk melihat di mana kita tutup. Beli terus disini.
1789,Under the contract Cramo Sverige and its subcontractor Brinkab AB will provide all scaffolding installations at LKAB 's new pellets plant in Kiruna in northern Sweden .,positive,Berdasarkan kontrak Cramo Sverige dan subkontraktornya Brinkab AB akan menyediakan semua instalasi perancah di pabrik pelet baru LKAB di Kiruna di Swedia utara.
1790,"The copying , republication or redistribution of AFX News Content , inculding by framing or similar means , is expressly prohibited without the prior written consent of AFX News .",neutral,"Penyalinan, publikasi ulang, atau redistribusi Konten Berita AFX, termasuk dengan membingkai atau cara serupa, secara tegas dilarang tanpa persetujuan tertulis sebelumnya dari AFX News."
1791,"It makes a wide range of mobile devices with services and software that enable people to experience music , navigation , video , television , imaging , games and business mobility .",neutral,"Itu membuat berbagai perangkat seluler dengan layanan dan perangkat lunak yang memungkinkan orang untuk menikmati musik, navigasi, video, televisi, pencitraan, permainan, dan mobilitas bisnis."
1792,easyJet expects resilient demand to withstand security fears,positive,easyJet mengharapkan permintaan yang tangguh untuk menahan ketakutan akan keamanan
1793,RT @jan $ARNA Don't think buyout rumor strong enough too be driving this up just yet...when it is this may fly like aapl...// fly how high?,neutral,RT @jan $ARNA Jangan berpikir rumor pembelian cukup kuat juga akan mendorong ini dulu...kapan ini mungkin terbang seperti aapl...// terbang seberapa tinggi?
1794,"$SLV -4.44% at 18 now AWFUL, down from 42.50",negative,"$SLV -4,44% pada 18 sekarang AWFUL, turun dari 42,50"
1795,The secondary antenna can also be used for reception of the high power signal of the radar to calibrate the transmission channels of the radar . '',neutral,Antena sekunder juga dapat digunakan untuk penerimaan sinyal daya tinggi radar untuk mengkalibrasi saluran transmisi radar. ''
1796,"The broker started UPM-Kymmene , Stora Enso and Sappi with ` equal-weight ' recommendations and Holmen and Norske Skog with ` underweight ' ratings .",neutral,"Pialang memulai UPM-Kymmene, Stora Enso dan Sappi dengan rekomendasi 'sama berat' dan Holmen dan Norske Skog dengan peringkat 'kurang berat'."
1797,"Operating profit margin was 8.3 % , compared to 11.8 % a year earlier .",neutral,"Margin laba usaha adalah 8,3%, dibandingkan dengan 11,8% tahun sebelumnya."
1798,"The markets are almost completely controlled by three banks : Nordea , OP Bank Group , and Sampo .",neutral,"Pasar hampir sepenuhnya dikendalikan oleh tiga bank: Nordea, OP Bank Group, dan Sampo."
1799,Net profit fell by almost half to +é 5.5 million from +é 9.4 million at the end of 2007 .,negative,"Laba bersih turun hampir setengahnya menjadi +é 5,5 juta dari +é 9,4 juta pada akhir tahun 2007 ."
1800,"EQ Bank forecasts Olvi 's net sales at EUR 67mn in the second quarter of 2009 , and operating profit at EUR 6.4 mn .",neutral,"EQ Bank memperkirakan penjualan bersih Olvi sebesar EUR 67 juta pada kuartal kedua tahun 2009, dan laba operasi sebesar EUR 6,4 juta."
